fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2018,38470.0,0.0,0.0,15.0,3.0,1,NAVSUP,238330.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2010,5800.0,-1.0051724137931035,0.0,253.0,3.0,2,NAVSUP,541380.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2011,4917.9,0.0,0.0,592.0,1.0,1,NAVSUP,333319.0,Z182,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,KS
2012,16970.0,0.0,0.0,29.0,1.0,1,NAVSUP,811213.0,Z1BC,FIRM FIXED PRICE,NOT COMPETED,CA
2012,4387.0,0.0,0.0,28.0,1.0,1,NAVSUP,423510.0,Z2JZ,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2016,93588.09,-1.1081872704101559,-364.0,395.0,2.0,3,NAVSUP,511210.0,Z1EA,FIRM FIXED PRICE,COMPETED UNDER SAP,TX
2018,65952.0,0.0,0.0,14.0,3.0,1,NAVSUP,561622.0,Z1AA,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2011,142540.0,-1.0,59.0,127.0,1.0,3,NAVSUP,238990.0,Z152,FIRM FIXED PRICE,NOT COMPETED,AL
2014,143199.0,-1.0698259066054931,0.0,108.0,1.0,4,NAVSUP,811310.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,AL
2014,3700.0,0.0,0.0,63.0,1.0,1,NAVSUP,811219.0,Z1DB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,CO
2014,8100.0,-2.0,0.0,66.0,1.0,2,NAVSUP,236220.0,Y1DB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,CA
2016,85115.0,-0.9806144627856429,0.0,65.0,1.0,3,NAVSUP,238190.0,Z2GD,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,WA
2018,4119.25,-0.6358560417551739,0.0,43.0,1.0,2,NAVSUP,336611.0,Z1ED,FIRM FIXED PRICE,COMPETED UNDER SAP,WA
2012,414.66,0.0,0.0,131.0,1.0,1,NAVAIR,484210.0,Z2JZ,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,MD
2012,5970.71,0.0,0.0,89.0,1.0,1,NAVAIR,484210.0,Z1AA,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,MD
2017,5537.46,0.0,0.0,109.0,1.0,1,NAVAIR,484210.0,Z1AA,FIRM FIXED PRICE,NOT AVAILABLE FOR COMPETITION,MD
